Poder de la Unión,Persona Candidata,CurriculumV Persona Candidata
"Poder Ejecutivo, Poder Judicial, Poder Legislativo",LAURA JACQUELINE ROMERO LULE,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LAURA_JACQUELINE_ROMERO_LULE_55018.pdf
Poder Ejecutivo,LESLIE LAURA SONCK MARTINEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LESLIE_LAURA_SONCK_MARTINEZ_54948.pdf
Poder Ejecutivo,MA MIRIAM TORRES ISLAS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MA_MIRIAM_TORRES_ISLAS_55038.pdf
Poder Ejecutivo,NORMA VACA SANCHEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/NORMA_VACA_SANCHEZ_55016.pdf
En Funciones,JESUS ALBERTO CHAVEZ HERNANDEZ,
Poder Legislativo,MANUEL ARMANDO DOMINGUEZ GOMEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MANUEL_ARMANDO_DOMINGUEZ_GOMEZ_53244.pdf
Poder Ejecutivo,CRISTIAN ABEL GARCIA MORENO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CRISTIAN_ABEL_GARCIA_MORENO_53573.pdf
Poder Ejecutivo,MARCO ANTONIO GONZALEZ CORTAZAR,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARCO_ANTONIO_GONZALEZ_CORTAZAR_53361.pdf
Poder Judicial,JOSE SIXTO GUZMAN HERRERA,
Poder Ejecutivo,GERARDO AGUSTIN HERNANDEZ QUINTANA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/GERARDO_AGUSTIN_HERNANDEZ_QUINTANA_53760.pdf
Poder Judicial,KARIN MARIN JASSO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/KARIN_MARIN_JASSO_54015.pdf
Poder Ejecutivo,FRANCISCO MARTINEZ CRUZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/FRANCISCO_MARTINEZ_CRUZ_54545.pdf
Poder Judicial,MARIO MENDOZA CHALICO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARIO_MENDOZA_CHALICO_54102.pdf
"En Funciones, Poder Judicial, Poder Legislativo",RAFAEL CARLOS QUESADA GARCIA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/RAFAEL_CARLOS_QUESADA_GARCIA_54392.pdf
Poder Legislativo,BALAM QUITZE SALAS MONROY,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/BALAM_QUITZE_SALAS_MONROY_55413.pdf
Poder Ejecutivo,EDUARDO ALEJANDRO SARMIENTO MARQUEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/EDUARDO_ALEJANDRO_SARMIENTO_MARQUEZ_55199.pdf
Poder Judicial,ANTONIO VARGAS BUSTAMANTE,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ANTONIO_VARGAS_BUSTAMANTE_55213.pdf
Poder Judicial,MARIA ELENA BAUTISTA CUELLAR,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARIA_ELENA_BAUTISTA_CUELLAR_52428.pdf
Poder Ejecutivo,VERONICA YESSEL BELTRAN MURGUIA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/VERONICA_YESSEL_BELTRAN_MURGUIA_52444.pdf
Poder Judicial,CAROLINA CASAS CORDOVA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CAROLINA_CASAS_CORDOVA_52534.pdf
"Poder Ejecutivo, Poder Legislativo",NORA ILEANA GARCIA PERALTA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/NORA_ILEANA_GARCIA_PERALTA_53263.pdf
Poder Legislativo,MACARENA LEAL ENRIQUEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MACARENA_LEAL_ENRIQUEZ_53817.pdf
Poder Judicial,MARIA DEL PILAR LOPEZ RUEDA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARIA_DEL_PILAR_LOPEZ_RUEDA_53639.pdf
Poder Ejecutivo,LUCERO GRISEL MARTINEZ ENCARNACION,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LUCERO_GRISEL_MARTINEZ_ENCARNACION_53749.pdf
Poder Legislativo,SUSANA MARTINEZ RAMIREZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/SUSANA_MARTINEZ_RAMIREZ_53753.pdf
Poder Ejecutivo,NANCY ADRIANA MEJIA MARTINEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/NANCY_ADRIANA_MEJIA_MARTINEZ_53983.pdf
Poder Judicial,DANIELA RAQUEL ONTIVEROS GONZALEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/DANIELA_RAQUEL_ONTIVEROS_GONZALEZ_54493.pdf
En Funciones,CELINA ANGELICA QUINTERO RICO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CELINA_ANGELICA_QUINTERO_RICO_55179.pdf
Poder Ejecutivo,LAIZA MARGARITA RAMIREZ VALERIO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LAIZA_MARGARITA_RAMIREZ_VALERIO_54420.pdf
Poder Legislativo,ADZUIRA RODRIGUEZ MOSRI,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ADZUIRA_RODRIGUEZ_MOSRI_55453.pdf
Poder Legislativo,LILIANA ELIZABETH VEZ FELIX,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LILIANA_ELIZABETH_VEZ_FELIX_55441.pdf
